ticker,price,divYield,pe,pb,debtEquity,rule_div,rule_pe,rule_pb,rule_de,passes
TLF,2.33,0.32189,2.108,0.3648,0.5206,True,True,True,True,True
PDCC,10.45,0.25263,3.8973,0.5792,0.0563,True,True,True,True,True
RWAY,7.16,0.24162,9.8477,0.5418,0.0,True,True,True,True,True
SWKH,16.81,0.23795,8.9623,0.8013,0.1256,True,True,True,True,True
DOMH,3.09,0.211,0.4322,0.2271,0.0142,True,True,True,True,True
FSCO,4.9,0.16402,5.1459,0.682,0.3192,True,True,True,True,True
REFI,12.09,0.1555,0.0071,0.0008,0.1603,True,True,True,True,True
MNR,13.43,0.14669,5.8244,0.8649,0.5933,True,True,True,True,True
IIPR,53.12,0.14307,12.5395,0.8024,0.213,True,True,True,True,True
LIEN,9.94,0.13682,6.8723,0.7488,0.0363,True,True,True,True,True
SUNS,8.92,0.13453,9.3611,0.6247,0.0,True,True,True,True,True
BANX,19.22,0.13267,7.0048,0.8649,0.4072,True,True,True,True,True
HQH,18.28,0.12309,9.9423,0.8963,0.0,True,True,True,True,True
TY,31.79,0.12298,6.6897,0.858,0.0,True,True,True,True,True
FDUS,17.76,0.12106,7.9677,0.885,0.3108,True,True,True,True,True
BCSF,12.42,0.12077,8.1522,0.0007,0.0013,True,True,True,True,True
MSIF,12.46,0.11557,6.5295,0.7843,0.816,True,True,True,True,True
HQL,16.62,0.11492,5.6062,0.9342,0.0,True,True,True,True,True
GAM,59.64,0.1115,7.1484,0.8215,0.001,True,True,True,True,True
VIASP,25.51,0.10814,4.9661,0.7642,0.9643,True,True,True,True,True
GAIN,14.05,0.10676,4.2767,0.9363,0.9604,True,True,True,True,True
GLAD,17.66,0.10419,10.8169,0.7878,0.8014,True,True,True,True,True
OTF,11.38,0.10105,7.3308,0.6567,0.782,True,True,True,True,True
MRP,28.55,0.089317,12.4766,0.8093,0.3607,True,True,True,True,True
SSTK,16.27,0.082975,12.7021,0.9946,0.5466,True,True,True,True,True
ORMP,3.38,0.073965,3.2185,0.6943,0.0042,True,True,True,True,True
KRC,29.32,0.07367,12.6379,0.6437,0.8937,True,True,True,True,True
VRTS,127.72,0.072816,6.2311,0.9233,0.5173,True,True,True,True,True
ENO,22.37,0.061466,5.6238,0.5843,0.1792,True,True,True,True,True
ENJ,21.0,0.061466,5.6238,0.5843,0.1792,True,True,True,True,True
CUBB,22.55,0.05959,3.4386,0.3642,0.8061,True,True,True,True,True
EMP,20.64,0.059364,5.1879,0.539,0.1792,True,True,True,True,True
EAI,20.62,0.059106,5.1839,0.5386,0.1792,True,True,True,True,True
HNNA,9.71,0.05793,8.4606,0.7746,0.4118,True,True,True,True,True
FIBK,33.23,0.056575,11.0867,0.9717,0.225,True,True,True,True,True
LNC,32.59,0.055232,5.295,0.571,0.5745,True,True,True,True,True
GPJA,22.69,0.05509,0.0577,0.0682,0.8262,True,True,True,True,True
FMNB,12.38,0.054927,8.5513,0.961,0.7571,True,True,True,True,True
CET,50.3,0.053678,5.5061,0.8168,0.0031,True,True,True,True,True
LCNB,16.44,0.053528,10.0309,0.8466,0.4314,True,True,True,True,True
PEBO,31.85,0.051491,10.4476,0.9246,0.6087,True,True,True,True,True
SIRI,22.23,0.048583,9.2786,0.646,0.8394,True,True,True,True,True
SBSI,29.84,0.048257,12.8736,0.1047,0.0,True,True,True,True,True
PFIS,52.0,0.047644,8.781,0.9998,0.3214,True,True,True,True,True
PFS,20.4,0.047059,9.1456,0.9399,0.8889,True,True,True,True,True
AUBN,23.5,0.045957,11.3166,0.9162,0.0,True,True,True,True,True
RMBI,13.25,0.045283,11.0512,0.4843,0.9541,True,True,True,True,True
FGN,23.62,0.043983,10.384,0.5728,0.4682,True,True,True,True,True
FG,20.69,0.043983,10.384,0.5728,0.4682,True,True,True,True,True
KMPB,22.9,0.043926,11.9572,0.639,0.3748,True,True,True,True,True
KMPR,29.14,0.043926,11.9572,0.639,0.3748,True,True,True,True,True
DGICA,16.75,0.043582,6.5888,0.8163,0.0547,True,True,True,True,True
HAFC,25.27,0.043134,9.8619,0.9422,0.3522,True,True,True,True,True
MCHB,14.16,0.043079,0.0018,0.0001,0.0974,True,True,True,True,True
